,Algorithm,Dataset,MAE,MSE,Score,MAE-train,MSE-train,Score-train,Seasonal-value
77,Ada-Boost,dataset_n_outliers_diff1,0.03824069614207289,0.002625971215287507,0.0204333336786802,2.0294040664472263e-20,5.4253585422567115e-37,1.0147020332236131e-20,15
78,Ada-Boost,dataset_n_outliers_diff2,0.04428676251060672,0.0033286702142940224,0.023807716362450368,9.646619329550514e-20,3.107886500050967e-36,4.823309664775257e-20,15
79,Ada-Boost,dataset_n_outliers_sqrt,0.027272990073889225,0.001383101299197716,0.01432804568654347,1.7792035651044175e-20,1.975312763474088e-36,8.896017825522089e-21,15
80,Ada-Boost,dataset_n_outliers_log,0.08020446017019923,0.014904026472090456,0.04755424332114484,-0.0,-0.0,-0.0,15
81,Gradient-Boosting-Regressor,dataset_n,0.040965318798596516,0.0029827399739800363,0.021974029386288275,0.03458693158706339,0.0020740125361026775,0.018330472061583034,1
82,Gradient-Boosting-Regressor,dataset_n_outliers,0.040965318798596516,0.0029827399739800363,0.021974029386288275,0.03458693158706339,0.0020740125361026775,0.018330472061583034,1
83,Gradient-Boosting-Regressor,dataset_n_outliers_l,0.040965318798596516,0.0029827399739800363,0.021974029386288275,0.03458693158706339,0.0020740125361026775,0.018330472061583034,1
84,Gradient-Boosting-Regressor,dataset_n_outliers_representative,0.22682314576232238,0.07306996801111275,0.14994655688671757,0.13282953038138703,0.026873152869325383,0.0798513416253562,1
85,Gradient-Boosting-Regressor,dataset_n_outliers_generated,0.05670763962266874,0.005176886752293896,0.03094226318748132,0.08712041119090425,0.014453439836329884,0.05078692551361706,1
86,Gradient-Boosting-Regressor,dataset_n_outliers_diff1,0.03866600203536004,0.002665060398592672,0.020665531216976354,0.034131984341254494,0.002037365004577876,0.018084674672916187,1
87,Gradient-Boosting-Regressor,dataset_n_outliers_diff2,0.04973518577411961,0.00430466454594845,0.02701992516003403,0.04275224978541846,0.0031202672628009875,0.022936258524109722,1
88,Gradient-Boosting-Regressor,dataset_n_outliers_sqrt,0.029144459109136506,0.0016625606099646036,0.015403509859550555,0.024552813832837632,0.0010897133217419822,0.012821263577289807,1
89,Gradient-Boosting-Regressor,dataset_n_outliers_log,0.09159640235997102,0.02758135439399919,0.05958887837698511,0.07569778860586247,0.015028841593334777,0.04536331509959862,1
90,Gradient-Boosting-Regressor,dataset_n,0.042123726662015686,0.0030080466908161173,0.022565886676415903,0.0046378927212029596,4.018571395251303e-05,0.0023390392175777364,7
91,Gradient-Boosting-Regressor,dataset_n_outliers,0.042123726662015686,0.0030080466908161173,0.022565886676415903,0.0046378927212029596,4.018571395251303e-05,0.0023390392175777364,7
92,Gradient-Boosting-Regressor,dataset_n_outliers_l,0.042123726662015686,0.0030080466908161173,0.022565886676415903,0.0046378927212029596,4.018571395251303e-05,0.0023390392175777364,7
93,Gradient-Boosting-Regressor,dataset_n_outliers_representative,0.21796189050836298,0.06550492436678818,0.14173340743757556,0.005096037122024176,5.0729564723929466e-05,0.0025733833433740525,7
94,Gradient-Boosting-Regressor,dataset_n_outliers_generated,0.026893470040103125,0.0013974166203088207,0.014145443330205973,0.02265583501906074,0.0009591709263654069,0.011807502972713073,7
95,Gradient-Boosting-Regressor,dataset_n_outliers_diff1,0.040522497673520466,0.0029224475075450853,0.021722472590532775,0.004912764148565592,5.001948306821594e-05,0.002481391815816904,7
96,Gradient-Boosting-Regressor,dataset_n_outliers_diff2,0.04463881347587451,0.003393104027235036,0.024015958751554774,0.003773127788937664,2.9236160685206636e-05,0.0019011819748114354,7
97,Gradient-Boosting-Regressor,dataset_n_outliers_sqrt,0.029182935935040445,0.0015126777860193482,0.015347806860529896,0.0033074278719996608,2.0429778598579107e-05,0.00166392882529912,7
98,Gradient-Boosting-Regressor,dataset_n_outliers_log,0.08618666692528859,0.016394850490982105,0.05129075870813535,0.010814068856950645,0.0002168587626774987,0.005515463809814072,7
99,Gradient-Boosting-Regressor,dataset_n,0.04114172334020236,0.0028198810670985687,0.021980802203650462,0.0020719938637984714,8.345025661849311e-06,0.0010401694447301603,15
100,Gradient-Boosting-Regressor,dataset_n_outliers,0.04114172334020236,0.0028198810670985687,0.021980802203650462,0.0020719938637984714,8.345025661849311e-06,0.0010401694447301603,15
101,Gradient-Boosting-Regressor,dataset_n_outliers_l,0.04114172334020236,0.0028198810670985687,0.021980802203650462,0.0020719938637984714,8.345025661849311e-06,0.0010401694447301603,15
102,Gradient-Boosting-Regressor,dataset_n_outliers_representative,0.1592468845467476,0.03702316870068241,0.09813502662371501,0.002377570816745752,1.1586210738639185e-05,0.0011945785137421957,15
103,Gradient-Boosting-Regressor,dataset_n_outliers_generated,0.02346356270751481,0.001091909363336803,0.012277736035425807,0.017245034075919534,0.0005420738397317675,0.00889355395782565,15
104,Gradient-Boosting-Regressor,dataset_n_outliers_diff1,0.03975940228528735,0.0028048481615261787,0.021282125223406764,0.002090109735679682,1.0058608610988803e-05,0.0010500841721453353,15
105,Gradient-Boosting-Regressor,dataset_n_outliers_diff2,0.04503929173087693,0.003447759790823126,0.024243525760850027,0.0014947682169960935,5.118336475908598e-06,0.0007499432767360011,15
106,Gradient-Boosting-Regressor,dataset_n_outliers_sqrt,0.02840581006986508,0.001424051786933437,0.014914930928399258,0.0015233338346082516,4.5861261084046e-06,0.0007639599803583281,15
107,Gradient-Boosting-Regressor,dataset_n_outliers_log,0.0838697394408484,0.014978199797005085,0.04942396961892674,0.005258974929302064,5.370422438419969e-05,0.0026563395768431316,15
