,Layer,Dataset,Seasonal-value,loss,train_loss
86,LSTM,dataset_n_outliers_diff1,D-X,0.03844988085329533,0.038087910134345294
87,LSTM,dataset_n_outliers_diff2,D-X,0.05113372355699539,0.050375009141862395
88,LSTM,dataset_n_outliers_sqrt,D-X,0.1332061655819416,0.1322450140491128
89,LSTM,dataset_n_outliers_log,D-X,0.3735903471708298,0.3750567752867937
90,LSTM,dataset_n,7D-X,0.19145606309175492,0.1913406543433666
91,LSTM,dataset_n_outliers,7D-X,0.19619645029306412,0.1892592992633581
92,LSTM,dataset_n_outliers_l,7D-X,0.18268946856260299,0.19294480681419374
93,LSTM,dataset_n_outliers_representative,7D-X,0.18189592212438582,0.18660002946853638
94,LSTM,dataset_n_outliers_generated,7D-X,0.1814139261841774,0.19140726949857628
95,LSTM,dataset_n_outliers_diff1,7D-X,0.040564199537038804,0.037883898336440326
96,LSTM,dataset_n_outliers_diff2,7D-X,0.05181419290602207,0.050172682758420704
97,LSTM,dataset_n_outliers_sqrt,7D-X,0.1309077151119709,0.1317977536469698
98,LSTM,dataset_n_outliers_log,7D-X,0.3843331426382065,0.36786258667707444
99,LSTM,dataset_n,15D-X,0.18981675952672958,0.18913977497663254
100,LSTM,dataset_n_outliers,15D-X,0.18305693864822387,0.19131797399276343
101,LSTM,dataset_n_outliers_l,15D-X,0.1862998992204666,0.19045768066858634
102,LSTM,dataset_n_outliers_representative,15D-X,0.18604766428470612,0.1927298387655845
103,LSTM,dataset_n_outliers_generated,15D-X,0.18551909923553467,0.19161274231839598
104,LSTM,dataset_n_outliers_diff1,15D-X,0.038163135200738905,0.03778257574408482
105,LSTM,dataset_n_outliers_diff2,15D-X,0.048549094796180726,0.05116012377234606
106,LSTM,dataset_n_outliers_sqrt,15D-X,0.12445919513702393,0.13092851791626367
107,LSTM,dataset_n_outliers_log,15D-X,0.39021397233009336,0.3595505295655666
108,GRU,dataset_n,D,0.047989719361066815,0.052315297070890665
109,GRU,dataset_n_outliers,D,0.05166206695139408,0.05709929596632719
110,GRU,dataset_n_outliers_l,D,0.0602732390165329,0.05506821610033512
111,GRU,dataset_n_outliers_representative,D,0.1967324957251549,0.18788552628113672
112,GRU,dataset_n_outliers_generated,D,0.058469031006097794,0.09263179771926092
113,GRU,dataset_n_outliers_diff1,D,0.03779418058693409,0.03871338702738285
114,GRU,dataset_n_outliers_diff2,D,0.05322256237268448,0.05014544650912285
115,GRU,dataset_n_outliers_sqrt,D,0.1342000812292099,0.13178713172674178
116,GRU,dataset_n_outliers_log,D,0.10806335359811783,0.10615082988515497
117,GRU,dataset_n,7D,0.06910599805414677,0.0695438482798636
118,GRU,dataset_n_outliers,7D,0.06307831183075904,0.06572830891236663
119,GRU,dataset_n_outliers_l,7D,0.0677367564290762,0.06789065133780241
120,GRU,dataset_n_outliers_representative,7D,0.1946996793150902,0.18011753834210908
121,GRU,dataset_n_outliers_generated,7D,0.06744080819189549,0.08865663752607678
122,GRU,dataset_n_outliers_diff1,7D,0.04073783978819847,0.037114736065268515
123,GRU,dataset_n_outliers_diff2,7D,0.05466119982302189,0.04912464525550604
124,GRU,dataset_n_outliers_sqrt,7D,0.04556101616472006,0.04711685432121158
125,GRU,dataset_n_outliers_log,7D,0.13689762130379676,0.13382632974535227
126,GRU,dataset_n,15D,0.07008332088589668,0.07267608436254355
127,GRU,dataset_n_outliers,15D,0.07201387584209443,0.06902499898121907
128,GRU,dataset_n_outliers_l,15D,0.06529588811099529,0.06961512049803367
129,GRU,dataset_n_outliers_representative,15D,0.18235616087913514,0.18624562942064726
130,GRU,dataset_n_outliers_generated,15D,0.06391765885055065,0.08519505023172028
131,GRU,dataset_n_outliers_diff1,15D,0.03914031907916069,0.03766417813797792
132,GRU,dataset_n_outliers_diff2,15D,0.050200968980789185,0.0508137818139333
133,GRU,dataset_n_outliers_sqrt,15D,0.051882097870111464,0.04976839954272295
